Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments
Hadoop Map/Reduce                               ,MAPREDUCE    ,6941      ,68484       ,9.866589828554963 ,6320                ,10.836075949367089     ,0          ,189        ,0.08946837631465207
Hadoop YARN                                     ,YARN         ,9888      ,129867      ,13.13379854368932 ,8954                ,14.503797185615367     ,0          ,164        ,0.09445792880258899
Hama                                            ,HAMA         ,1006      ,6605        ,6.565606361829026 ,931                 ,7.0945220193340495     ,0          ,118        ,0.07455268389662027
Harmony                                         ,HARMONY      ,6676      ,28947       ,4.335979628520072 ,6291                ,4.6013352408202195     ,0          ,52         ,0.05766926303175554
HBase                                           ,HBASE        ,23669     ,303664      ,12.829608348472686,22434               ,13.535883034679504     ,0          ,321        ,0.052177954286197134
Hive                                            ,HIVE         ,22838     ,176814      ,7.752959747434885 ,19653               ,8.996794382537017      ,0          ,164        ,0.13825309129176533
Ignite                                          ,IGNITE       ,12666     ,44443       ,3.5149478013286934,9489                ,4.683633681104436      ,0          ,144        ,0.2495254666244859
Isis                                            ,ISIS         ,2298      ,12651       ,5.522042776080315 ,1969                ,6.425088877602844      ,0          ,637        ,0.14054997817546921
Ivy                                             ,IVY          ,1606      ,4566        ,2.843088418430884 ,1365                ,3.345054945054945      ,0          ,49         ,0.15006226650062265
IvyDE                                           ,IVYDE        ,383       ,1093        ,2.85378590078329  ,337                 ,3.2433234421364987     ,0          ,26         ,0.12010443864229765
jclouds                                         ,JCLOUDS      ,1537      ,6067        ,3.9472999349381914,1269                ,4.780929866036249      ,0          ,73         ,0.17436564736499674
JSPWiki                                         ,JSPWIKI      ,0         ,4722        ,4.689175769612711 ,947                 ,4.986272439281943      ,0          ,58         ,0.05958291956305859
Karaf                                           ,KARAF        ,0         ,21367       ,3.248745628706097 ,5692                ,3.753865073787772      ,0          ,59         ,0.13455982970959404
Log4j 2                                         ,LOGJ         ,2781      ,17179       ,6.192862292718097 ,2492                ,6.893659711075442      ,0          ,125        ,0.10165825522710886
Mahout                                          ,MAHOUT       ,0         ,15782       ,7.562050790608529 ,1995                ,7.91077694235589       ,0          ,173        ,0.04408241494968855
ManifoldCF                                      ,CONNECTORS   ,1635      ,9581        ,5.859938837920489 ,1584                ,6.048611111111111      ,0          ,138        ,0.031192660550458717
Marmotta                                        ,MARMOTTA     ,678       ,2384        ,3.5162241887905603,575                 ,4.1460869565217395     ,0          ,39         ,0.15191740412979352
Maven                                           ,MNG          ,5577      ,21635       ,3.882110174053472 ,4993                ,4.333066292809934      ,0          ,311        ,0.1040732101202225

# starting to add total number of issues here :(
Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments

Maven Doxia                                     ,DOXIA        ,547       ,1665        ,3.043875685557587 ,518                 ,3.2142857142857144     ,0          ,41         ,0.05301645338208409
MINA                                            ,DIRMINA      ,1083      ,4698        ,4.337950138504155 ,1007                ,4.665342601787487      ,0          ,71         ,0.07017543859649122
MRUnit                                          ,MRUNIT       ,224       ,924         ,4.125             ,200                 ,4.62                   ,0          ,54         ,0.10714285714285714
Nutch                                           ,NUTCH        ,2750      ,17245       ,6.2709090909090905,2638                ,6.537149355572403      ,0          ,153        ,0.04072727272727273
ODE                                             ,ODE          ,1078      ,3148        ,2.920222634508349 ,942                 ,3.3418259023354566     ,0          ,40         ,0.1261595547309833
OFBiz                                           ,OFBIZ        ,11348     ,52625       ,4.637381036305957 ,10715               ,4.911339244050397      ,0          ,195        ,0.05578075431794149
Olingo                                          ,OLINGO       ,1427      ,4311        ,3.021023125437982 ,1239                ,3.4794188861985473     ,0          ,59         ,0.1317449194113525
Oozie                                           ,OOZIE        ,3585      ,23968       ,6.685634588563459 ,2962                ,8.091829844699527      ,0          ,93         ,0.17377963737796373
OpenJPA                                         ,OPENJPA      ,2805      ,8800        ,3.1372549019607843,2145                ,4.102564102564102      ,0          ,68         ,0.23529411764705882
OpenNLP                                         ,OPENNLP      ,1257      ,3544        ,2.8194112967382656,889                 ,3.986501687289089      ,0          ,59         ,0.29276054097056486
OpenWebBeans                                    ,OWB          ,1308      ,3186        ,2.4357798165137616,1046                ,3.045889101338432      ,0          ,60         ,0.20030581039755352
ORC                                             ,ORC          ,600       ,3148        ,5.246666666666667 ,490                 ,6.424489795918367      ,0          ,77         ,0.18333333333333332
Parquet                                         ,PARQUET      ,1785      ,5035        ,2.820728291316527 ,1561                ,3.2254964766175527     ,0          ,108        ,0.12549019607843137
PDFBox                                          ,PDFBOX       ,4775      ,36027       ,7.544921465968587 ,4700                ,7.66531914893617       ,0          ,1829       ,0.015706806282722512
Phoenix                                         ,PHOENIX      ,5716      ,43205       ,7.558607417774668 ,4936                ,8.753038897893031      ,0          ,164        ,0.1364590622813156
Pig                                             ,PIG          ,5318      ,30338       ,5.70477623166604  ,4790                ,6.3336116910229645     ,0          ,133        ,0.09928544565626175
Pivot                                           ,PIVOT        ,1021      ,3818        ,3.73947110675808  ,744                 ,5.131720430107527      ,0          ,53         ,0.2713026444662096
Polygene                                        ,POLYGENE     ,311       ,488         ,1.5691318327974277,216                 ,2.259259259259259      ,0          ,15         ,0.3054662379421222
Portals                                         ,PORTALS      ,24        ,19          ,0.7916666666666666,13                  ,1.4615384615384615     ,0          ,2          ,0.4583333333333333
Qpid                                            ,QPID         ,8314      ,26320       ,3.1657445273033438,7395                ,3.559161595672752      ,0          ,137        ,0.11053644455135915
REEF                                            ,REEF         ,2059      ,6715        ,3.2612918892666345,1730                ,3.8815028901734103     ,0          ,155        ,0.15978630403108304
River                                           ,RIVER        ,465       ,896         ,1.9268817204301076,266                 ,3.3684210526315788     ,0          ,50         ,0.42795698924731185
Sandesha2                                       ,SANDESHA     ,216       ,463         ,2.1435185185185186,172                 ,2.691860465116279      ,0          ,16         ,0.2037037037037037
Santuario                                       ,SANTUARIO    ,152       ,397         ,2.611842105263158 ,111                 ,3.5765765765765765     ,0          ,18         ,0.26973684210526316
Scout                                           ,SCOUT        ,137       ,303         ,2.2116788321167884,122                 ,2.4836065573770494     ,0          ,26         ,0.10948905109489052
